metric,strategy,buy_and_hold,delta
cagr,-0.05861372652608943,0.09319111412422587,-0.1518048406503153
annualized_volatility,0.14606491070239397,0.2027955608105814,-0.056730650108187425
sharpe_ratio,-0.3402275809087431,0.5409177051626038,-0.8811452860713469
sortino_ratio,-0.25089494886132924,0.5361228187801867,-0.787017767641516
max_drawdown,-0.6913421683925794,-0.2928011476357878,-0.39854102075679165
max_drawdown_duration_days,4172.0,501.0,3671.0
win_rate,0.38596491228070173,,
profit_factor,0.4075316611387617,,
num_trades,57.0,0.0,57.0
turnover,113.99791996178574,0.0,113.99791996178574
